■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
46,올드보이,2003-11-21,"14,000",0.0%,"14,000",100.0%,"2,080,578,000",2,2,100.0%,"317,451",1,1,한국,한국,"(주)에그필름,쇼이스트(주)","쇼이스트(주),(주)씨제이이엔엠",18세관람가,스릴러,박찬욱,"최민식,유지태,강혜정,김병옥,오달수,이승신,윤진서,지대한,오태경,유연석,김원중,박재용,박지훈,한정옥,박근석,곽정애,임설아,박성규,오영주,임승용,최재섭,이대연,오광록,김수현,용이,박명신"
46,녹턴,2022-08-18,"4,000",0.0%,0,0.0%,"81,999,100",2,0,0.0%,"11,632",1,2,한국,한국,포이에티케,(주)시네마달,12세이상관람가,다큐멘터리,정관조,"은성호,은건기,손민서"
48,"그래도, 사랑해.",,"5,000",0.0%,"5,000",100.0%,"5,000",1,1,100.0%,1,1,1,한국,한국,,,,기타,,
48,일과 날,2025-07-16,"3,000",0.0%,"-21,000",-87.5%,"12,376,400",1,-2,-66.7%,"1,431",1,1,한국,한국,비우무비,스튜디오 에이드,전체관람가,다큐멘터리,"박민수,안건형",
48,3일의 휴가,2023-12-06,"7,000",0.0%,"-161,000",-95.8%,"4,964,307,917",1,-23,-95.8%,"530,484",1,1,한국,한국,글뫼 주식회사,(주)쇼박스,12세이상관람가,"판타지,드라마",육상효,"김해숙,신민아,강기영,황보라,박명훈"
51,타미플루,,0,0.0%,0,100.0%,0,0,0,100.0%,0,1,1,한국,한국,,,,"드라마,판타지",,
합계,,,"243,177,300",,,,"191,402,163,278","26,325",,,"21,173,009","1,366","2,604",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 02일(화),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
1,좀비딸,2025-07-30,"154,291,280",68.9%,"-13,888,020",-8.3%,"51,019,942,190","16,749","-1,007",-5.7%,"5,384,278",696,"2,039",한국,한국,스튜디오엔(주),(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",필감성,"조정석,이정은,조여정,윤경호,최유리,이주미"
2,악마가 이사왔다,2025-08-13,"26,802,700",12.0%,"8,331,600",45.1%,"4,008,712,110","2,939","1,000",51.6%,"422,135",293,371,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"미스터리,코미디",이상근,"임윤아,안보현,성동일,주현영"
3,온리 갓 노우즈 에브리띵,2025-08-22,"6,075,500",2.7%,"2,173,400",55.7%,"203,002,120",749,278,59.0%,"23,176",63,66,한국,한국,(주)백그림,(주)트리플픽쳐스,15세이상관람가,"미스터리,스릴러",백승환,"신승호,한지은,박명훈,전소민,이중옥,이지현,유성주,신서우,정은경,이재환,유지혁,김일현,유병훈,이병수,송동환,백주환,이창주,남중규,유재명,양권석,이윤화,주상현,배성민,황원규,강해빈"
4,독립군: 끝나지 않은 전쟁,2025-08-13,"3,746,600",1.7%,"-1,809,200",-32.6%,"381,712,420",415,-200,-32.5%,"42,224",54,55,한국,한국,"주식회사 블루필름웍스,제니필름",주식회사 블루필름웍스,전체관람가,다큐멘터리,문승욱,조진웅
4,킹 오브 킹스,2025-07-16,"4,047,800",1.8%,"1,749,100",76.1%,"12,234,804,076",415,158,61.5%,"1,296,924",66,70,한국,한국,(주)모팩스튜디오,(주)디스테이션,전체관람가,애니메이션,장성호,"이병헌,진선규,이하늬,양동근,차인표,권오중,장광,피어스 브로스넌,오스카 아이삭,케네스 브래너,우마 서먼,마크 해밀,포레스트 휘테커,벤 킹슬리,로만 그리핀 데이비스"
6,아이 캔 스피크,2017-09-21,"1,791,000",0.8%,"1,776,000",11840.0%,"25,590,850,886",388,386,19300.0%,"3,289,012",3,6,한국,한국,주식회사 영화사 시선,"(주)마노엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",12세이상관람가,코미디,김현석,"나문희,이제훈,박철민,염혜란,성유빈,김소진,이상희,정연주,이지훈,손숙,이재인,최수인,이대연,박준서,이정현,홍상원,황연희,우지현,이신성,우상기,이정현,손성찬,정원창,김자영,김경덕,손경원,설창희,정태야,추연규,이승민,이범규,김선경"
7,엔하이픈 브이알콘서트 : 이머전,2025-08-08,"12,738,000",5.7%,"2,541,000",24.9%,"598,161,000",386,77,24.9%,"18,417",1,8,한국,한국,(주)어메이즈브이알코리아,(주)어메이즈브이알코리아,전체관람가,드라마,김경국,
8,다른 것으로 알려질 뿐이지,2025-08-27,"1,872,500",0.8%,"1,028,500",121.9%,"21,625,450",197,101,105.2%,"2,146",29,31,한국,한국,(주)보더리스필름,영화로운 형제,15세이상관람가,"드라마,멜로/로맨스",조희영,"공민정,정보람,정회린,감동환,류세일,유의태"
9,건국전쟁2,2025-09-10,"1,656,000",0.7%,"1,656,000",100.0%,"1,656,000",184,184,100.0%,184,1,1,한국,한국,다큐스토리프로덕션,다큐스토리프로덕션,12세이상관람가,다큐멘터리,김덕영,
10,지리멸렬,,"474,000",0.2%,"-129,000",-21.4%,"7,847,500",158,-43,-21.4%,"2,617",50,56,한국,한국,한국영화아카데미,㈜인디스토리,12세이상관람가,코미디,봉준호,"유연수,윤일주,김뢰하,신동환"
11,식스데이즈,2025-08-13,"2,706,000",1.2%,"-748,000",-21.7%,"995,710,000",123,-34,-21.7%,"45,439",26,32,한국,한국,(주)MBC,"씨지브이 아이스콘,씨제이포디플렉스 주식회사",전체관람가,"드라마,다큐멘터리",,
12,전지적 독자 시점,2025-07-23,"1,263,500",0.6%,"1,192,000",1667.1%,"10,050,495,260",122,116,1933.3%,"1,060,902",4,4,한국,한국,리얼라이즈픽쳐스(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"판타지,액션",김병우,"안효섭,이민호,채수빈,신승호,나나,지수,권은성,박호산,최영준,이석,정성일,조성희,은수,이유진,문우진,정찬훈,노정현"
13,소풍,2024-02-07,"396,000",0.2%,"396,000",100.0%,"3,230,586,943",99,99,100.0%,"367,566",2,2,한국,한국,(주)로케트필름,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,김용균,"나문희,김영옥,박근형,류승수,이항나,공상아,임지규,최선자,이용이,한태일,곽자형,정혜자,나호숙,차희,신예서,엄주연,이주미,황효은,나은미,허종오,장재용,조형우,성병숙"
13,첫여름,,"297,000",0.1%,"-45,000",-13.2%,"49,524,000",99,-15,-13.2%,"15,688",23,26,한국,한국,한국영화아카데미,한국영화아카데미,15세이상관람가,드라마,허가영,"허진,정인기"
15,여름이 지나가면,2025-07-09,"926,500",0.4%,"279,500",43.2%,"91,194,800",96,6,6.7%,"10,009",6,6,한국,한국,㈜스튜디오 하이파이브,(주)엣나인필름,15세이상관람가,드라마,장병기,"이재준,최현진,최우록,고서희,강길우"
16,THE 자연인,2025-08-20,"663,000",0.3%,"-294,600",-30.8%,"16,027,800",83,-32,-27.8%,"1,824",21,21,한국,한국,스톤워크,스톤워크,12세이상관람가,"코미디,미스터리",노영석,"변재신,정용훈,신운섭,이란희"
17,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"518,000",0.2%,0,0.0%,"2,059,572,830",66,5,8.2%,"223,850",12,12,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,변희선,"조경이,엠머슨브룩김,이현경,김해나,강은애"
18,강령: 귀신놀이,2025-08-06,"639,500",0.3%,"134,500",26.6%,"705,868,300",63,14,28.6%,"72,274",11,13,한국,한국,(주)이오콘텐츠그룹,(주)스튜디오디에이치엘,15세이상관람가,"공포(호러),미스터리,스릴러",손동완,"김예림,이찬형,서동현,오소현,김은비,박서연,이다은,윤별하,유승아,정상훈,이진주,윤혜진,조수경,윤대성,노상현,김용선,구민혁,이경현,손평형,김지예,조예명,박승렬,김민호,손호은,김도훈,김진주,임세령,정유진,백가은,유영현"
19,3670,2025-09-03,"520,000",0.2%,"-4,250,000",-89.1%,"12,227,000",52,-478,-90.2%,"1,318",1,1,한국,한국,오롯필름,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",박준호,"조유현,김현목,조대희,배한솔,임지형,전두식,하승우,윤설,김진이,차미경,유태규"
20,대비상망,1975-06-06,"102,000",0.0%,"-14,000",-12.1%,"218,000",51,-7,-12.1%,109,1,4,한국,한국,남아진흥,(주)프리즘웍스,15세이상관람가,액션,전우열,"한용철,오경아"
21,헤어질 결심,2022-06-29,"463,000",0.2%,"43,000",10.2%,"19,786,413,678",49,7,16.7%,"1,908,971",1,2,한국,한국,모호필름,(주)씨제이이엔엠,15세이상관람가,"미스터리,멜로/로맨스",박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현"
22,검은 령,2025-08-27,"334,000",0.1%,"-37,500",-10.1%,"10,281,000",41,3,7.9%,"1,169",17,18,한국,한국,(주)날개엔터테인먼트,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",15세이상관람가,공포(호러),김현준,"아누팜 트리파티,임도화,송승현,김병춘,서동원,김혜나,곽수진,윤준원"
23,호랑님의 생일날,2024-10-04,"162,000",0.1%,"162,000",100.0%,"27,439,000",27,27,100.0%,"4,549",1,1,한국,한국,(주)니즈텔레콤,(주)니즈텔레콤,전체관람가,기타,이광범,
24,식사이론,2025-08-20,"100,000",0.0%,"56,000",127.3%,"12,926,000",25,14,127.3%,"3,230",7,7,한국,한국,"주식회사 알바트로스픽처스,데저트블룸픽처스 주식회사",롯데컬처웍스(주)롯데시네마,12세이상관람가,"코미디,판타지,드라마",,홍진기
25,백산 - 의령에서 발해까지,2025-02-05,"212,000",0.1%,"-6,329,500",-96.8%,"131,847,000",24,"-1,223",-98.1%,"20,072",13,13,한국,한국,(주)KNN,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,진재운,
26,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,"211,000",0.1%,"-7,000",-3.2%,"579,026,000",23,-2,-8.0%,"63,039",10,10,한국,한국,(주)모꼬지,(주)모꼬지,전체관람가,애니메이션,이원재,"임승미,원옥화,진양욱,조영철,우정민"
27,수연의 선율,2025-08-06,"196,000",0.1%,"79,000",67.5%,"49,524,100",21,6,40.0%,"5,890",8,8,한국,한국,탄탄픽쳐스,(주)싸이더스,12세이상관람가,"가족,미스터리,스릴러",최종룡,"김보민,최이랑,김현정,진대연,최승원"
28,노이즈,2025-06-25,"88,000",0.0%,"51,000",137.8%,"16,758,892,110",11,7,175.0%,"1,707,637",4,4,한국,한국,(주)화인컷,(주)바이포엠스튜디오,15세이상관람가,"공포(호러),스릴러",김수진,"이선빈,김민석,한수아,류경수,전익령,백주희,안석현,이은미"
29,봄밤,2025-07-09,"79,000",0.0%,"-113,000",-58.9%,"77,430,400",10,-14,-58.3%,"9,011",1,2,한국,한국,월원영화사,(주)시네마달,15세이상관람가,드라마,강미자,"한예리,김설진,김선재,정명원,김승환,오다민"
30,우리 둘 사이에,2025-07-30,"74,000",0.0%,"24,000",48.0%,"24,409,100",9,4,80.0%,"2,861",3,3,한국,한국,(주)영화사진,㈜인디스토리,12세이상관람가,드라마,성지혜,"김시은,설정환,오지후,강말금"
31,꼬마마법사 주니토니,2025-07-26,"77,000",0.0%,"31,000",67.4%,"509,921,400",8,4,100.0%,"58,506",3,3,한국,한국,,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",전체관람가,애니메이션,서동해,"김연우,김은아,정재헌,엄상현,한만중,장미,이소영,홍소영,이민규,김단"
31,무명 無名,2025-06-25,"80,000",0.0%,"-631,000",-88.7%,"646,113,500",8,-81,-91.0%,"68,280",1,1,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),12세이상관람가,다큐멘터리,유진주,"하정우,김중희"
31,야당: 익스텐디드 컷,2025-08-06,"60,000",0.0%,"-41,000",-40.6%,"244,577,020",8,-3,-27.3%,"27,269",4,4,한국,한국,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트,청소년관람불가,"범죄,액션",황병국,"강하늘,유해진,박해준,류경수,채원빈"
34,스피릿 핑거스! 4화,2025-08-27,"35,000",0.0%,"14,000",66.7%,"483,000",5,2,66.7%,69,2,2,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
34,스피릿 핑거스! 3화,2025-08-27,"35,000",0.0%,"14,000",66.7%,"525,000",5,2,66.7%,75,2,2,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
36,일과 날,2025-07-16,"24,000",0.0%,"18,000",300.0%,"12,373,400",3,2,200.0%,"1,430",1,1,한국,한국,비우무비,스튜디오 에이드,전체관람가,다큐멘터리,"박민수,안건형",
37,아가씨,2016-06-01,"20,000",0.0%,"-100,000",-83.3%,"35,229,945,891",2,-10,-83.3%,"4,289,919",1,1,한국,한국,"유한회사 아가씨에프에스,모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
37,815사수작전,2025-08-14,"12,000",0.0%,0,0.0%,"3,590,500",2,0,0.0%,412,3,3,한국,한국,(주)하이씨씨,시네마 뉴원,12세이상관람가,코미디,손병조,"김인권,노영학"
37,녹턴,2022-08-18,"4,000",0.0%,"-5,000",-55.6%,"81,995,100",2,0,0.0%,"11,630",1,2,한국,한국,포이에티케,(주)시네마달,12세이상관람가,다큐멘터리,정관조,"은성호,은건기,손민서"
37,추적,2025-08-06,"20,000",0.0%,"-1,438,000",-98.6%,"141,419,900",2,-151,-98.7%,"15,520",2,2,한국,한국,뉴스타파 필름,(주)엣나인필름,12세이상관람가,다큐멘터리,최승호,
37,인디스데이 8월 단편,,"14,000",0.0%,"-8,000",-36.4%,"181,000",2,-1,-33.3%,26,1,1,한국,한국,,,,드라마,,
42,꿈꾸는 사진관,2025-07-16,"6,000",0.0%,"-2,000",-25.0%,"6,131,500",1,0,0.0%,"1,131",1,1,한국,한국,신희재 프로덕션,시네마 뉴원,전체관람가,드라마,정초신,신미식
42,극장판 다이노맨: 공룡산의 비밀,2025-07-25,"7,000",0.0%,"-1,000",-12.5%,"62,624,750",1,0,0.0%,"9,157",1,1,한국,한국,"(주)스튜디오버튼 ,(주)플레이그램",(주)플레이그램,전체관람가,애니메이션,김호락,
42,승리의 시작,2025-06-19,"10,000",0.0%,"-4,000",-28.6%,"42,627,800",1,-1,-50.0%,"5,116",1,1,한국,한국,퓨어웨이픽쳐스,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,신유환
합계,,,"223,849,880",,,,"185,720,436,834","23,724",,,"20,495,061","1,452","2,917",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 01일(월),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
1,좀비딸,2025-07-30,"168,179,300",69.1%,"-592,906,690",-77.9%,"50,865,650,910","17,756","-60,840",-77.4%,"5,367,529",666,"2,053",한국,한국,스튜디오엔(주),(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",필감성,"조정석,이정은,조여정,윤경호,최유리,이주미"
2,악마가 이사왔다,2025-08-13,"18,471,100",7.6%,"-29,978,820",-61.9%,"3,981,909,410","1,939","-3,147",-61.9%,"419,196",280,354,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"미스터리,코미디",이상근,"임윤아,안보현,성동일,주현영"
3,백산 - 의령에서 발해까지,2025-02-05,"6,541,500",2.7%,"3,570,500",120.2%,"131,635,000","1,247",712,133.1%,"20,048",26,31,한국,한국,(주)KNN,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,진재운,
4,비밀일 수밖에,2025-09-10,"7,155,000",2.9%,"5,812,500",433.0%,"11,798,500",795,675,562.5%,"1,174",4,5,한국,한국,"(주)에이디사공육,주식회사 슈아픽처스","주식회사 슈아픽처스,(주)에이디사공육",12세이상관람가,"드라마,코미디",김대환,"장영남,류경수,스테파니 리,옥지영,박지일,박지아"
5,독립군: 끝나지 않은 전쟁,2025-08-13,"5,555,800",2.3%,"-8,244,500",-59.7%,"377,965,820",615,-895,-59.3%,"41,809",58,63,한국,한국,"주식회사 블루필름웍스,제니필름",주식회사 블루필름웍스,전체관람가,다큐멘터리,문승욱,조진웅
6,3670,2025-09-03,"4,770,000",2.0%,"3,748,000",366.7%,"11,707,000",530,457,626.0%,"1,266",3,3,한국,한국,오롯필름,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",박준호,"조유현,김현목,조대희,배한솔,임지형,전두식,하승우,윤설,김진이,차미경,유태규"
7,온리 갓 노우즈 에브리띵,2025-08-22,"3,902,100",1.6%,"-2,293,400",-37.0%,"196,926,620",471,-270,-36.4%,"22,427",70,71,한국,한국,(주)백그림,(주)트리플픽쳐스,15세이상관람가,"미스터리,스릴러",백승환,"신승호,한지은,박명훈,전소민,이중옥,이지현,유성주,신서우,정은경,이재환,유지혁,김일현,유병훈,이병수,송동환,백주환,이창주,남중규,유재명,양권석,이윤화,주상현,배성민,황원규,강해빈"
8,엔하이픈 브이알콘서트 : 이머전,2025-08-08,"10,197,000",4.2%,"-20,097,000",-66.3%,"585,423,000",309,-609,-66.3%,"18,031",1,8,한국,한국,(주)어메이즈브이알코리아,(주)어메이즈브이알코리아,전체관람가,드라마,김경국,
9,킹 오브 킹스,2025-07-16,"2,298,700",0.9%,"-68,335,300",-96.7%,"12,230,756,276",257,"-7,610",-96.7%,"1,296,509",55,58,한국,한국,(주)모팩스튜디오,(주)디스테이션,전체관람가,애니메이션,장성호,"이병헌,진선규,이하늬,양동근,차인표,권오중,장광,피어스 브로스넌,오스카 아이삭,케네스 브래너,우마 서먼,마크 해밀,포레스트 휘테커,벤 킹슬리,로만 그리핀 데이비스"
10,지리멸렬,,"603,000",0.2%,"-414,000",-40.7%,"7,373,500",201,-138,-40.7%,"2,459",61,80,한국,한국,한국영화아카데미,㈜인디스토리,12세이상관람가,코미디,봉준호,"유연수,윤일주,김뢰하,신동환"
11,식스데이즈,2025-08-13,"3,454,000",1.4%,"-7,040,000",-67.1%,"993,004,000",157,-320,-67.1%,"45,316",23,27,한국,한국,(주)MBC,"씨지브이 아이스콘,씨제이포디플렉스 주식회사",전체관람가,"드라마,다큐멘터리",,
11,어쩌면 해피엔딩,2025-10-02,"2,355,000",1.0%,"2,355,000",100.0%,"13,363,000",157,157,100.0%,"1,066",1,1,한국,한국,,"(주)키노필름,(주)아센디오,(주)영화특별시에스엠씨",12세이상관람가,"뮤지컬,멜로/로맨스",이원회,"신주협,유준상"
13,추적,2025-08-06,"1,458,000",0.6%,"1,066,000",271.9%,"141,399,900",153,104,212.2%,"15,518",4,4,한국,한국,뉴스타파 필름,(주)엣나인필름,12세이상관람가,다큐멘터리,최승호,
14,대가족,2024-12-11,"750,000",0.3%,"540,000",257.1%,"3,098,178,600",125,90,257.1%,"354,415",1,1,한국,한국,게니우스 유한회사,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"드라마,코미디",양우석,"김윤석,이승기,김성령,강한나,박수영,김시우,윤채나,심희섭,길해연,이순재,강명환,이보람,이중현"
15,THE 자연인,2025-08-20,"957,600",0.4%,"432,600",82.4%,"15,364,800",115,49,74.2%,"1,741",26,26,한국,한국,스톤워크,스톤워크,12세이상관람가,"코미디,미스터리",노영석,"변재신,정용훈,신운섭,이란희"
16,첫여름,,"342,000",0.1%,"-252,000",-42.4%,"49,227,000",114,-84,-42.4%,"15,589",25,28,한국,한국,한국영화아카데미,한국영화아카데미,15세이상관람가,드라마,허가영,"허진,정인기"
17,7번방의 선물,2013-01-23,"600,000",0.2%,"600,000",100.0%,"91,438,520,170",100,100,100.0%,"12,812,336",1,1,한국,한국,"(주)화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이환경,"장이준,류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연,김봉수,정희태,이윤희,오창경,한이진"
18,다른 것으로 알려질 뿐이지,2025-08-27,"844,000",0.3%,"-2,139,400",-71.7%,"19,752,950",96,-191,-66.6%,"1,949",21,23,한국,한국,(주)보더리스필름,영화로운 형제,15세이상관람가,"드라마,멜로/로맨스",조희영,"공민정,정보람,정회린,감동환,류세일,유의태"
19,여름이 지나가면,2025-07-09,"647,000",0.3%,"-737,000",-53.3%,"90,268,300",90,-17,-15.9%,"9,913",3,3,한국,한국,㈜스튜디오 하이파이브,(주)엣나인필름,15세이상관람가,드라마,장병기,"이재준,최현진,최우록,고서희,강길우"
20,소주전쟁,2025-05-30,"840,000",0.3%,"-1,660,000",-66.4%,"2,634,601,950",70,-180,-72.0%,"283,160",1,1,한국,한국,더램프(주),(주)쇼박스,15세이상관람가,드라마,,"유해진,이제훈,손현주,최영준,김기해,한상조,윤지혜,이서환,박지일,김다흰,정형석,최교식,이창호,김문식,심우성,심우성,이선구,최희진,허진우"
21,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,"518,000",0.2%,"-7,603,500",-93.6%,"2,059,054,830",61,-795,-92.9%,"223,784",11,12,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,변희선,"조경이,엠머슨브룩김,이현경,김해나,강은애"
22,대비상망,1975-06-06,"116,000",0.0%,"116,000",100.0%,"116,000",58,58,100.0%,58,1,4,한국,한국,남아진흥,(주)프리즘웍스,15세이상관람가,액션,전우열,"한용철,오경아"
23,강령: 귀신놀이,2025-08-06,"505,000",0.2%,"-701,000",-58.1%,"705,228,800",49,-51,-51.0%,"72,211",11,14,한국,한국,(주)이오콘텐츠그룹,(주)스튜디오디에이치엘,15세이상관람가,"공포(호러),미스터리,스릴러",손동완,"김예림,이찬형,서동현,오소현,김은비,박서연,이다은,윤별하,유승아,정상훈,이진주,윤혜진,조수경,윤대성,노상현,김용선,구민혁,이경현,손평형,김지예,조예명,박승렬,김민호,손호은,김도훈,김진주,임세령,정유진,백가은,유영현"
24,헤어질 결심,2022-06-29,"420,000",0.2%,"113,000",36.8%,"19,785,950,678",42,11,35.5%,"1,908,922",1,2,한국,한국,모호필름,(주)씨제이이엔엠,15세이상관람가,"미스터리,멜로/로맨스",박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현"
25,검은 령,2025-08-27,"371,500",0.2%,"-558,500",-60.1%,"9,947,000",38,-57,-60.0%,"1,128",15,16,한국,한국,(주)날개엔터테인먼트,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",15세이상관람가,공포(호러),김현준,"아누팜 트리파티,임도화,송승현,김병춘,서동원,김혜나,곽수진,윤준원"
26,시집가는 날,1957-02-11,"120,000",0.0%,"120,000",100.0%,"3,544,000",35,35,100.0%,"2,205",1,1,한국,한국,,,,"가족,드라마",이병일,조미령
27,무명객,,"52,000",0.0%,"-16,000",-23.5%,"1,349,000",26,-8,-23.5%,667,1,4,한국,한국,남아진흥,(주)프리즘웍스,15세이상관람가,액션,김시현,"모사성,김지혜,이예민,김기주,유현"
28,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,"218,000",0.1%,"-6,022,300",-96.5%,"578,815,000",25,-638,-96.2%,"63,016",11,11,한국,한국,(주)모꼬지,(주)모꼬지,전체관람가,애니메이션,이원재,"임승미,원옥화,진양욱,조영철,우정민"
28,핑크퐁 공룡 유치원,2025-03-08,"162,500",0.1%,"162,500",100.0%,"1,362,500",25,25,100.0%,194,1,1,한국,한국,더핑크퐁컴퍼니(주),더핑크퐁컴퍼니(주),전체관람가,애니메이션,,
30,봄밤,2025-07-09,"192,000",0.1%,"152,000",380.0%,"77,351,400",24,13,118.2%,"9,001",4,5,한국,한국,월원영화사,(주)시네마달,15세이상관람가,드라마,강미자,"한예리,김설진,김선재,정명원,김승환,오다민"
31,수연의 선율,2025-08-06,"117,000",0.0%,"-308,000",-72.5%,"49,328,100",15,-42,-73.7%,"5,869",5,5,한국,한국,탄탄픽쳐스,(주)싸이더스,12세이상관람가,"가족,미스터리,스릴러",최종룡,"김보민,최이랑,김현정,진대연,최승원"
32,아가씨,2016-06-01,"120,000",0.0%,"-50,000",-29.4%,"35,229,925,891",12,-5,-29.4%,"4,289,917",1,1,한국,한국,"유한회사 아가씨에프에스,모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
33,야당: 익스텐디드 컷,2025-08-06,"101,000",0.0%,"-79,000",-43.9%,"244,517,020",11,-8,-42.1%,"27,261",3,3,한국,한국,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트,청소년관람불가,"범죄,액션",황병국,"강하늘,유해진,박해준,류경수,채원빈"
33,식사이론,2025-08-20,"44,000",0.0%,"-136,000",-75.6%,"12,826,000",11,-34,-75.6%,"3,205",7,7,한국,한국,"주식회사 알바트로스픽처스,데저트블룸픽처스 주식회사",롯데컬처웍스(주)롯데시네마,12세이상관람가,"코미디,판타지,드라마",,홍진기
